Description,GeoAreaName,Year,Value
Proportion of women in managerial positions (%),World,2000,25.32
Proportion of women in managerial positions (%),World,2001,25.67
Proportion of women in managerial positions (%),World,2002,25.82
Proportion of women in managerial positions (%),World,2003,26.3
Proportion of women in managerial positions (%),World,2004,26.35
Proportion of women in managerial positions (%),World,2005,26.8
Proportion of women in managerial positions (%),World,2006,26.85
Proportion of women in managerial positions (%),World,2007,27.29
Proportion of women in managerial positions (%),World,2008,27.21
Proportion of women in managerial positions (%),World,2009,27.27
Proportion of women in managerial positions (%),World,2010,27.39
Proportion of women in managerial positions (%),World,2011,27.31
Proportion of women in managerial positions (%),World,2012,26.76
Proportion of women in managerial positions (%),World,2013,26.74
Proportion of women in managerial positions (%),World,2014,26.92
Proportion of women in managerial positions (%),World,2015,27.17
Proportion of women in managerial positions (%),World,2016,27.53
Proportion of women in managerial positions (%),World,2017,27.7
Proportion of women in managerial positions (%),World,2018,27.88
Proportion of women in managerial positions (%),World,2019,28.25
Proportion of women in managerial positions (%),World,2020,28.34
Proportion of women in managerial positions (%),Africa,2000,19.28
Proportion of women in managerial positions (%),Africa,2001,19.17
Proportion of women in managerial positions (%),Africa,2002,18.33
Proportion of women in managerial positions (%),Africa,2003,18.04
Proportion of women in managerial positions (%),Africa,2004,17.83
Proportion of women in managerial positions (%),Africa,2005,19.09
Proportion of women in managerial positions (%),Africa,2006,19.73
Proportion of women in managerial positions (%),Africa,2007,19.84
Proportion of women in managerial positions (%),Africa,2008,20.59
Proportion of women in managerial positions (%),Africa,2009,22.14
Proportion of women in managerial positions (%),Africa,2010,21.9
Proportion of women in managerial positions (%),Africa,2011,22.99
Proportion of women in managerial positions (%),Africa,2012,20.02
Proportion of women in managerial positions (%),Africa,2013,18.24
Proportion of women in managerial positions (%),Africa,2014,18.87
Proportion of women in managerial positions (%),Africa,2015,19.1
Proportion of women in managerial positions (%),Africa,2016,20.03
Proportion of women in managerial positions (%),Africa,2017,21.22
Proportion of women in managerial positions (%),Africa,2018,20.95
Proportion of women in managerial positions (%),Africa,2019,21.12
Proportion of women in managerial positions (%),Africa,2020,20.82
Proportion of women in managerial positions (%),Afghanistan,2014,6.37
Proportion of women in managerial positions (%),Afghanistan,2017,4.05
Proportion of women in managerial positions (%),Afghanistan,2020,4.89
Proportion of women in managerial positions (%),South America,2000,31.86
Proportion of women in managerial positions (%),South America,2001,32.62
Proportion of women in managerial positions (%),South America,2002,33.22
Proportion of women in managerial positions (%),South America,2003,34.15
Proportion of women in managerial positions (%),South America,2004,34.28
Proportion of women in managerial positions (%),South America,2005,35.34
Proportion of women in managerial positions (%),South America,2006,35.19
Proportion of women in managerial positions (%),South America,2007,35.93
Proportion of women in managerial positions (%),South America,2008,35.75
Proportion of women in managerial positions (%),South America,2009,36.69
Proportion of women in managerial positions (%),South America,2010,36.79
Proportion of women in managerial positions (%),South America,2011,37.35
Proportion of women in managerial positions (%),South America,2012,38.16
Proportion of women in managerial positions (%),South America,2013,38.41
Proportion of women in managerial positions (%),South America,2014,38.83
Proportion of women in managerial positions (%),South America,2015,39.35
Proportion of women in managerial positions (%),South America,2016,39.43
Proportion of women in managerial positions (%),South America,2017,39.39
Proportion of women in managerial positions (%),South America,2018,39.1
Proportion of women in managerial positions (%),South America,2019,38.4
Proportion of women in managerial positions (%),South America,2020,37.05
Proportion of women in managerial positions (%),Albania,2007,20.47
Proportion of women in managerial positions (%),Albania,2008,23.74
Proportion of women in managerial positions (%),Albania,2009,22.47
Proportion of women in managerial positions (%),Albania,2010,19.1
Proportion of women in managerial positions (%),Albania,2012,16.07
Proportion of women in managerial positions (%),Albania,2014,18.68
Proportion of women in managerial positions (%),Albania,2015,19.76
Proportion of women in managerial positions (%),Albania,2016,24.14
Proportion of women in managerial positions (%),Albania,2017,22.65
Proportion of women in managerial positions (%),Albania,2018,29.25
Proportion of women in managerial positions (%),Albania,2019,34.11
Proportion of women in managerial positions (%),Oceania,2000,32.19
Proportion of women in managerial positions (%),Oceania,2001,33.49
Proportion of women in managerial positions (%),Oceania,2002,33.79
Proportion of women in managerial positions (%),Oceania,2003,33.7
Proportion of women in managerial positions (%),Oceania,2004,33.13
Proportion of women in managerial positions (%),Oceania,2005,33.86
Proportion of women in managerial positions (%),Oceania,2006,34.48
Proportion of women in managerial positions (%),Oceania,2007,34.53
Proportion of women in managerial positions (%),Oceania,2008,35.51
Proportion of women in managerial positions (%),Oceania,2009,35.5
Proportion of women in managerial positions (%),Oceania,2010,34.6
Proportion of women in managerial positions (%),Oceania,2011,35.98
Proportion of women in managerial positions (%),Oceania,2012,35.78
Proportion of women in managerial positions (%),Oceania,2013,35.9
Proportion of women in managerial positions (%),Oceania,2014,36.33
Proportion of women in managerial positions (%),Oceania,2015,37.33
Proportion of women in managerial positions (%),Oceania,2016,36.63
Proportion of women in managerial positions (%),Oceania,2017,38.07
Proportion of women in managerial positions (%),Oceania,2018,37.55
Proportion of women in managerial positions (%),Oceania,2019,37.77
Proportion of women in managerial positions (%),Oceania,2020,37.81
Proportion of women in managerial positions (%),Western Africa,2000,22.84
Proportion of women in managerial positions (%),Western Africa,2001,23.08
Proportion of women in managerial positions (%),Western Africa,2002,23.56
Proportion of women in managerial positions (%),Western Africa,2003,23.91
Proportion of women in managerial positions (%),Western Africa,2004,24.45
Proportion of women in managerial positions (%),Western Africa,2005,24.8
Proportion of women in managerial positions (%),Western Africa,2006,25.09
Proportion of women in managerial positions (%),Western Africa,2007,25.4
Proportion of women in managerial positions (%),Western Africa,2008,25.71
Proportion of women in managerial positions (%),Western Africa,2009,26.16
Proportion of women in managerial positions (%),Western Africa,2010,26.79
Proportion of women in managerial positions (%),Western Africa,2011,27.32
Proportion of women in managerial positions (%),Western Africa,2012,26.65
Proportion of women in managerial positions (%),Western Africa,2013,26.49
Proportion of women in managerial positions (%),Western Africa,2014,26.42
Proportion of women in managerial positions (%),Western Africa,2015,26.67
Proportion of women in managerial positions (%),Western Africa,2016,27.12
Proportion of women in managerial positions (%),Western Africa,2017,30.63
Proportion of women in managerial positions (%),Western Africa,2018,30.6
Proportion of women in managerial positions (%),Western Africa,2019,30.68
Proportion of women in managerial positions (%),Western Africa,2020,30.92
Proportion of women in managerial positions (%),Algeria,2001,5.24
Proportion of women in managerial positions (%),Algeria,2003,5.69
Proportion of women in managerial positions (%),Algeria,2004,4.87
Proportion of women in managerial positions (%),Algeria,2013,10.61
Proportion of women in managerial positions (%),Algeria,2014,9.89
Proportion of women in managerial positions (%),Algeria,2017,8.36
Proportion of women in managerial positions (%),Central America,2000,30.28
Proportion of women in managerial positions (%),Central America,2001,31.49
Proportion of women in managerial positions (%),Central America,2002,30.19
Proportion of women in managerial positions (%),Central America,2003,31.11
Proportion of women in managerial positions (%),Central America,2004,32.24
Proportion of women in managerial positions (%),Central America,2005,32.74
Proportion of women in managerial positions (%),Central America,2006,33.25
Proportion of women in managerial positions (%),Central America,2007,33.88
Proportion of women in managerial positions (%),Central America,2008,35.21
Proportion of women in managerial positions (%),Central America,2009,36.01
Proportion of women in managerial positions (%),Central America,2010,36.23
Proportion of women in managerial positions (%),Central America,2011,35.15
Proportion of women in managerial positions (%),Central America,2012,35.12
Proportion of women in managerial positions (%),Central America,2013,35.05
Proportion of women in managerial positions (%),Central America,2014,35.1
Proportion of women in managerial positions (%),Central America,2015,35.85
Proportion of women in managerial positions (%),Central America,2016,36.07
Proportion of women in managerial positions (%),Central America,2017,36.11
Proportion of women in managerial positions (%),Central America,2018,36.29
Proportion of women in managerial positions (%),Central America,2019,36.62
Proportion of women in managerial positions (%),Central America,2020,37.88
Proportion of women in managerial positions (%),Eastern Africa,2000,33.28
Proportion of women in managerial positions (%),Eastern Africa,2001,33.78
Proportion of women in managerial positions (%),Eastern Africa,2002,28.16
Proportion of women in managerial positions (%),Eastern Africa,2003,24.73
Proportion of women in managerial positions (%),Eastern Africa,2004,22.96
Proportion of women in managerial positions (%),Eastern Africa,2005,22.37
Proportion of women in managerial positions (%),Eastern Africa,2006,22.42
Proportion of women in managerial positions (%),Eastern Africa,2007,23
Proportion of women in managerial positions (%),Eastern Africa,2008,23.36
Proportion of women in managerial positions (%),Eastern Africa,2009,24.06
Proportion of women in managerial positions (%),Eastern Africa,2010,24.69
Proportion of women in managerial positions (%),Eastern Africa,2011,24.75
Proportion of women in managerial positions (%),Eastern Africa,2012,25
Proportion of women in managerial positions (%),Eastern Africa,2013,25.66
Proportion of women in managerial positions (%),Eastern Africa,2014,25.94
Proportion of women in managerial positions (%),Eastern Africa,2015,26.56
Proportion of women in managerial positions (%),Eastern Africa,2016,26.77
Proportion of women in managerial positions (%),Eastern Africa,2017,26.91
Proportion of women in managerial positions (%),Eastern Africa,2018,27.18
Proportion of women in managerial positions (%),Eastern Africa,2019,27.42
Proportion of women in managerial positions (%),Eastern Africa,2020,27.25
Proportion of women in managerial positions (%),Northern Africa,2000,9.19
Proportion of women in managerial positions (%),Northern Africa,2001,9.24
Proportion of women in managerial positions (%),Northern Africa,2002,8.45
Proportion of women in managerial positions (%),Northern Africa,2003,8.19
Proportion of women in managerial positions (%),Northern Africa,2004,7.44
Proportion of women in managerial positions (%),Northern Africa,2005,9.61
Proportion of women in managerial positions (%),Northern Africa,2006,10.33
Proportion of women in managerial positions (%),Northern Africa,2007,10.61
Proportion of women in managerial positions (%),Northern Africa,2008,11.22
Proportion of women in managerial positions (%),Northern Africa,2009,12.41
Proportion of women in managerial positions (%),Northern Africa,2010,12.51
Proportion of women in managerial positions (%),Northern Africa,2011,12.34
Proportion of women in managerial positions (%),Northern Africa,2012,10.05
Proportion of women in managerial positions (%),Northern Africa,2013,7.94
Proportion of women in managerial positions (%),Northern Africa,2014,7.72
Proportion of women in managerial positions (%),Northern Africa,2015,7.34
Proportion of women in managerial positions (%),Northern Africa,2016,7.98
Proportion of women in managerial positions (%),Northern Africa,2017,7.57
Proportion of women in managerial positions (%),Northern Africa,2018,6.91
Proportion of women in managerial positions (%),Northern Africa,2019,6.91
Proportion of women in managerial positions (%),Northern Africa,2020,6.7
Proportion of women in managerial positions (%),Middle Africa,2000,28.48
Proportion of women in managerial positions (%),Middle Africa,2001,29.13
Proportion of women in managerial positions (%),Middle Africa,2002,30.14
Proportion of women in managerial positions (%),Middle Africa,2003,30.57
Proportion of women in managerial positions (%),Middle Africa,2004,30.81
Proportion of women in managerial positions (%),Middle Africa,2005,29.77
Proportion of women in managerial positions (%),Middle Africa,2006,29.35
Proportion of women in managerial positions (%),Middle Africa,2007,28.8
Proportion of women in managerial positions (%),Middle Africa,2008,28.24
Proportion of women in managerial positions (%),Middle Africa,2009,28.39
Proportion of women in managerial positions (%),Middle Africa,2010,26.89
Proportion of women in managerial positions (%),Middle Africa,2011,30.45
Proportion of women in managerial positions (%),Middle Africa,2012,30.96
Proportion of women in managerial positions (%),Middle Africa,2013,31.25
Proportion of women in managerial positions (%),Middle Africa,2014,31.67
Proportion of women in managerial positions (%),Middle Africa,2015,31.94
Proportion of women in managerial positions (%),Middle Africa,2016,31.98
Proportion of women in managerial positions (%),Middle Africa,2017,32.01
Proportion of women in managerial positions (%),Middle Africa,2018,32.11
Proportion of women in managerial positions (%),Middle Africa,2019,32.02
Proportion of women in managerial positions (%),Middle Africa,2020,31.24
Proportion of women in managerial positions (%),Southern Africa,2000,23.46
Proportion of women in managerial positions (%),Southern Africa,2001,21.61
Proportion of women in managerial positions (%),Southern Africa,2002,25.28
Proportion of women in managerial positions (%),Southern Africa,2003,26.28
Proportion of women in managerial positions (%),Southern Africa,2004,26.85
Proportion of women in managerial positions (%),Southern Africa,2005,26.78
Proportion of women in managerial positions (%),Southern Africa,2006,26.87
Proportion of women in managerial positions (%),Southern Africa,2007,27.45
Proportion of women in managerial positions (%),Southern Africa,2008,29.02
Proportion of women in managerial positions (%),Southern Africa,2009,29.45
Proportion of women in managerial positions (%),Southern Africa,2010,29.21
Proportion of women in managerial positions (%),Southern Africa,2011,30.52
Proportion of women in managerial positions (%),Southern Africa,2012,30.7
Proportion of women in managerial positions (%),Southern Africa,2013,29.98
Proportion of women in managerial positions (%),Southern Africa,2014,31.14
Proportion of women in managerial positions (%),Southern Africa,2015,30.96
Proportion of women in managerial positions (%),Southern Africa,2016,31.8
Proportion of women in managerial positions (%),Southern Africa,2017,32.39
Proportion of women in managerial positions (%),Southern Africa,2018,31
Proportion of women in managerial positions (%),Southern Africa,2019,30.81
Proportion of women in managerial positions (%),Southern Africa,2020,29.58
Proportion of women in managerial positions (%),Americas,2000,33.73
Proportion of women in managerial positions (%),Americas,2001,34.29
Proportion of women in managerial positions (%),Americas,2002,34.61
Proportion of women in managerial positions (%),Americas,2003,35.48
Proportion of women in managerial positions (%),Americas,2004,35.59
Proportion of women in managerial positions (%),Americas,2005,36.24
Proportion of women in managerial positions (%),Americas,2006,35.96
Proportion of women in managerial positions (%),Americas,2007,36.85
Proportion of women in managerial positions (%),Americas,2008,36.86
Proportion of women in managerial positions (%),Americas,2009,37.25
Proportion of women in managerial positions (%),Americas,2010,37.77
Proportion of women in managerial positions (%),Americas,2011,37.78
Proportion of women in managerial positions (%),Americas,2012,37.98
Proportion of women in managerial positions (%),Americas,2013,37.81
Proportion of women in managerial positions (%),Americas,2014,37.96
Proportion of women in managerial positions (%),Americas,2015,38.51
Proportion of women in managerial positions (%),Americas,2016,38.68
Proportion of women in managerial positions (%),Americas,2017,39.14
Proportion of women in managerial positions (%),Americas,2018,39.25
Proportion of women in managerial positions (%),Americas,2019,39.07
Proportion of women in managerial positions (%),Americas,2020,39.67
Proportion of women in managerial positions (%),Northern America,2000,35.01
Proportion of women in managerial positions (%),Northern America,2001,35.39
Proportion of women in managerial positions (%),Northern America,2002,35.73
Proportion of women in managerial positions (%),Northern America,2003,36.56
Proportion of women in managerial positions (%),Northern America,2004,36.53
Proportion of women in managerial positions (%),Northern America,2005,37.04
Proportion of women in managerial positions (%),Northern America,2006,36.55
Proportion of women in managerial positions (%),Northern America,2007,37.61
Proportion of women in managerial positions (%),Northern America,2008,37.51
Proportion of women in managerial positions (%),Northern America,2009,37.59
Proportion of women in managerial positions (%),Northern America,2010,38.35
Proportion of women in managerial positions (%),Northern America,2011,38.14
Proportion of women in managerial positions (%),Northern America,2012,38.09
Proportion of women in managerial positions (%),Northern America,2013,37.71
Proportion of women in managerial positions (%),Northern America,2014,37.73
Proportion of women in managerial positions (%),Northern America,2015,38.27
Proportion of women in managerial positions (%),Northern America,2016,38.49
Proportion of women in managerial positions (%),Northern America,2017,39.22
Proportion of women in managerial positions (%),Northern America,2018,39.51
Proportion of women in managerial positions (%),Northern America,2019,39.45
Proportion of women in managerial positions (%),Northern America,2020,40.69
Proportion of women in managerial positions (%),Angola,2004,29.52
Proportion of women in managerial positions (%),Angola,2009,14.78
Proportion of women in managerial positions (%),Angola,2010,29.76
Proportion of women in managerial positions (%),Angola,2011,31.85
Proportion of women in managerial positions (%),Angola,2014,19.73
Proportion of women in managerial positions (%),Antigua and Barbuda,2001,45.06
Proportion of women in managerial positions (%),Caribbean,2000,34.05
Proportion of women in managerial positions (%),Caribbean,2001,35.04
Proportion of women in managerial positions (%),Caribbean,2002,35.84
Proportion of women in managerial positions (%),Caribbean,2003,36.6
Proportion of women in managerial positions (%),Caribbean,2004,37.65
Proportion of women in managerial positions (%),Caribbean,2005,38.61
Proportion of women in managerial positions (%),Caribbean,2006,39.77
Proportion of women in managerial positions (%),Caribbean,2007,39.21
Proportion of women in managerial positions (%),Caribbean,2008,40.47
Proportion of women in managerial positions (%),Caribbean,2009,39.98
Proportion of women in managerial positions (%),Caribbean,2010,40.83
Proportion of women in managerial positions (%),Caribbean,2011,42.18
Proportion of women in managerial positions (%),Caribbean,2012,42.1
Proportion of women in managerial positions (%),Caribbean,2013,41.81
Proportion of women in managerial positions (%),Caribbean,2014,41.9
Proportion of women in managerial positions (%),Caribbean,2015,42.13
Proportion of women in managerial positions (%),Caribbean,2016,42.41
Proportion of women in managerial positions (%),Caribbean,2017,43.33
Proportion of women in managerial positions (%),Caribbean,2018,43.41
Proportion of women in managerial positions (%),Caribbean,2019,43.41
Proportion of women in managerial positions (%),Caribbean,2020,43.24
Proportion of women in managerial positions (%),Eastern Asia,2000,20.06
Proportion of women in managerial positions (%),Eastern Asia,2001,20.47
Proportion of women in managerial positions (%),Eastern Asia,2002,20.83
Proportion of women in managerial positions (%),Eastern Asia,2003,21.23
Proportion of women in managerial positions (%),Eastern Asia,2004,21.55
Proportion of women in managerial positions (%),Eastern Asia,2005,22.02
Proportion of women in managerial positions (%),Eastern Asia,2006,22.59
Proportion of women in managerial positions (%),Eastern Asia,2007,23.17
Proportion of women in managerial positions (%),Eastern Asia,2008,23.58
Proportion of women in managerial positions (%),Eastern Asia,2009,24.01
Proportion of women in managerial positions (%),Eastern Asia,2010,24.44
Proportion of women in managerial positions (%),Eastern Asia,2011,24.92
Proportion of women in managerial positions (%),Eastern Asia,2012,25.47
Proportion of women in managerial positions (%),Eastern Asia,2013,25.99
Proportion of women in managerial positions (%),Eastern Asia,2014,26.43
Proportion of women in managerial positions (%),Eastern Asia,2015,26.93
Proportion of women in managerial positions (%),Eastern Asia,2016,27.34
Proportion of women in managerial positions (%),Eastern Asia,2017,27.72
Proportion of women in managerial positions (%),Eastern Asia,2018,28.13
Proportion of women in managerial positions (%),Eastern Asia,2019,28.45
Proportion of women in managerial positions (%),Eastern Asia,2020,28.67
Proportion of women in managerial positions (%),Azerbaijan,2000,26.9
Proportion of women in managerial positions (%),Azerbaijan,2001,27.6
Proportion of women in managerial positions (%),Azerbaijan,2002,25.3
Proportion of women in managerial positions (%),Azerbaijan,2003,24.4
Proportion of women in managerial positions (%),Azerbaijan,2004,29.6
Proportion of women in managerial positions (%),Azerbaijan,2005,28.2
Proportion of women in managerial positions (%),Azerbaijan,2006,23.2
Proportion of women in managerial positions (%),Azerbaijan,2007,22.1
Proportion of women in managerial positions (%),Azerbaijan,2008,24.7
Proportion of women in managerial positions (%),Azerbaijan,2009,19.2
Proportion of women in managerial positions (%),Azerbaijan,2010,25.52
Proportion of women in managerial positions (%),Azerbaijan,2011,32.8
Proportion of women in managerial positions (%),Azerbaijan,2012,34.2
Proportion of women in managerial positions (%),Azerbaijan,2013,32.99
Proportion of women in managerial positions (%),Azerbaijan,2014,34.54
Proportion of women in managerial positions (%),Azerbaijan,2015,35.06
Proportion of women in managerial positions (%),Azerbaijan,2016,34.86
Proportion of women in managerial positions (%),Azerbaijan,2017,34.49
Proportion of women in managerial positions (%),Azerbaijan,2018,38.07
Proportion of women in managerial positions (%),Azerbaijan,2019,35.81
Proportion of women in managerial positions (%),Azerbaijan,2020,35.48
Proportion of women in managerial positions (%),Argentina,2000,27.4
Proportion of women in managerial positions (%),Argentina,2001,27.17
Proportion of women in managerial positions (%),Argentina,2002,25.77
Proportion of women in managerial positions (%),Argentina,2003,28.95
Proportion of women in managerial positions (%),Argentina,2004,27.44
Proportion of women in managerial positions (%),Argentina,2005,26.43
Proportion of women in managerial positions (%),Argentina,2006,27.77
Proportion of women in managerial positions (%),Argentina,2008,27.86
Proportion of women in managerial positions (%),Argentina,2009,32.4
Proportion of women in managerial positions (%),Argentina,2010,29.85
Proportion of women in managerial positions (%),Argentina,2011,28.02
Proportion of women in managerial positions (%),Argentina,2012,30.4
Proportion of women in managerial positions (%),Argentina,2013,30.26
Proportion of women in managerial positions (%),Argentina,2014,30.62
Proportion of women in managerial positions (%),Argentina,2017,31.61
Proportion of women in managerial positions (%),Argentina,2018,32.56
Proportion of women in managerial positions (%),Argentina,2019,31.6
Proportion of women in managerial positions (%),Argentina,2020,32.97
Proportion of women in managerial positions (%),Southern Asia,2000,12.05
Proportion of women in managerial positions (%),Southern Asia,2001,12.08
Proportion of women in managerial positions (%),Southern Asia,2002,12.1
Proportion of women in managerial positions (%),Southern Asia,2003,12.18
Proportion of women in managerial positions (%),Southern Asia,2004,12.36
Proportion of women in managerial positions (%),Southern Asia,2005,12.51
Proportion of women in managerial positions (%),Southern Asia,2006,12.41
Proportion of women in managerial positions (%),Southern Asia,2007,12.29
Proportion of women in managerial positions (%),Southern Asia,2008,11.93
Proportion of women in managerial positions (%),Southern Asia,2009,11.69
Proportion of women in managerial positions (%),Southern Asia,2010,11.54
Proportion of women in managerial positions (%),Southern Asia,2011,11.87
Proportion of women in managerial positions (%),Southern Asia,2012,12.12
Proportion of women in managerial positions (%),Southern Asia,2013,12.11
Proportion of women in managerial positions (%),Southern Asia,2014,12.3
Proportion of women in managerial positions (%),Southern Asia,2015,12.28
Proportion of women in managerial positions (%),Southern Asia,2016,12.39
Proportion of women in managerial positions (%),Southern Asia,2017,12.54
Proportion of women in managerial positions (%),Southern Asia,2018,12.68
Proportion of women in managerial positions (%),Southern Asia,2019,12.89
Proportion of women in managerial positions (%),Southern Asia,2020,12.36
Proportion of women in managerial positions (%),South-Eastern Asia,2000,38.89
Proportion of women in managerial positions (%),South-Eastern Asia,2001,38.98
Proportion of women in managerial positions (%),South-Eastern Asia,2002,38.71
Proportion of women in managerial positions (%),South-Eastern Asia,2003,38.34
Proportion of women in managerial positions (%),South-Eastern Asia,2004,37.98
Proportion of women in managerial positions (%),South-Eastern Asia,2005,37.79
Proportion of women in managerial positions (%),South-Eastern Asia,2006,37.11
Proportion of women in managerial positions (%),South-Eastern Asia,2007,39.29
Proportion of women in managerial positions (%),South-Eastern Asia,2008,40.77
Proportion of women in managerial positions (%),South-Eastern Asia,2009,40.43
Proportion of women in managerial positions (%),South-Eastern Asia,2010,41.21
Proportion of women in managerial positions (%),South-Eastern Asia,2011,40.82
Proportion of women in managerial positions (%),South-Eastern Asia,2012,38.71
Proportion of women in managerial positions (%),South-Eastern Asia,2013,39.69
Proportion of women in managerial positions (%),South-Eastern Asia,2014,39.89
Proportion of women in managerial positions (%),South-Eastern Asia,2015,39.61
Proportion of women in managerial positions (%),South-Eastern Asia,2016,40.34
Proportion of women in managerial positions (%),South-Eastern Asia,2017,40.32
Proportion of women in managerial positions (%),South-Eastern Asia,2018,41.22
Proportion of women in managerial positions (%),South-Eastern Asia,2019,42
Proportion of women in managerial positions (%),South-Eastern Asia,2020,41.3
Proportion of women in managerial positions (%),Australia,2000,29.96
Proportion of women in managerial positions (%),Australia,2001,31.79
Proportion of women in managerial positions (%),Australia,2002,32.23
Proportion of women in managerial positions (%),Australia,2003,32.74
Proportion of women in managerial positions (%),Australia,2004,33.51
Proportion of women in managerial positions (%),Australia,2005,34.36
Proportion of women in managerial positions (%),Australia,2006,34.29
Proportion of women in managerial positions (%),Australia,2007,34.29
Proportion of women in managerial positions (%),Australia,2008,35.53
Proportion of women in managerial positions (%),Australia,2009,35.53
Proportion of women in managerial positions (%),Australia,2010,34.41
Proportion of women in managerial positions (%),Australia,2011,36.11
Proportion of women in managerial positions (%),Australia,2012,35.74
Proportion of women in managerial positions (%),Australia,2013,35.83
Proportion of women in managerial positions (%),Australia,2014,36.32
Proportion of women in managerial positions (%),Australia,2015,37.69
Proportion of women in managerial positions (%),Australia,2016,36.74
Proportion of women in managerial positions (%),Australia,2017,38.65
Proportion of women in managerial positions (%),Australia,2018,37.8
Proportion of women in managerial positions (%),Australia,2019,39.16
Proportion of women in managerial positions (%),Australia,2020,39.95
Proportion of women in managerial positions (%),Southern Europe,2000,22.53
Proportion of women in managerial positions (%),Southern Europe,2001,24.8
Proportion of women in managerial positions (%),Southern Europe,2002,24.91
Proportion of women in managerial positions (%),Southern Europe,2003,25.2
Proportion of women in managerial positions (%),Southern Europe,2004,26.04
Proportion of women in managerial positions (%),Southern Europe,2005,26.53
Proportion of women in managerial positions (%),Southern Europe,2006,26.29
Proportion of women in managerial positions (%),Southern Europe,2007,26.59
Proportion of women in managerial positions (%),Southern Europe,2008,27.15
Proportion of women in managerial positions (%),Southern Europe,2009,27.56
Proportion of women in managerial positions (%),Southern Europe,2010,28.05
Proportion of women in managerial positions (%),Southern Europe,2011,28.03
Proportion of women in managerial positions (%),Southern Europe,2012,28.63
Proportion of women in managerial positions (%),Southern Europe,2013,29.24
Proportion of women in managerial positions (%),Southern Europe,2014,29.15
Proportion of women in managerial positions (%),Southern Europe,2015,28.71
Proportion of women in managerial positions (%),Southern Europe,2016,29.75
Proportion of women in managerial positions (%),Southern Europe,2017,29.49
Proportion of women in managerial positions (%),Southern Europe,2018,29.76
Proportion of women in managerial positions (%),Southern Europe,2019,30.86
Proportion of women in managerial positions (%),Southern Europe,2020,31.16
Proportion of women in managerial positions (%),Austria,2000,30.08
Proportion of women in managerial positions (%),Austria,2001,30.05
Proportion of women in managerial positions (%),Austria,2002,29.25
Proportion of women in managerial positions (%),Austria,2003,27.38
Proportion of women in managerial positions (%),Austria,2004,26.3
Proportion of women in managerial positions (%),Austria,2005,26.82
Proportion of women in managerial positions (%),Austria,2006,27.92
Proportion of women in managerial positions (%),Austria,2007,26.16
Proportion of women in managerial positions (%),Austria,2008,28.12
Proportion of women in managerial positions (%),Austria,2009,27.35
Proportion of women in managerial positions (%),Austria,2010,28.92
Proportion of women in managerial positions (%),Austria,2011,27.5
Proportion of women in managerial positions (%),Austria,2012,30.08
Proportion of women in managerial positions (%),Austria,2013,29.35
Proportion of women in managerial positions (%),Austria,2014,30.31
Proportion of women in managerial positions (%),Austria,2015,29.68
Proportion of women in managerial positions (%),Austria,2016,31.79
Proportion of women in managerial positions (%),Austria,2017,31.8
Proportion of women in managerial positions (%),Austria,2018,31.59
Proportion of women in managerial positions (%),Austria,2019,33.24
Proportion of women in managerial positions (%),Austria,2020,32.8
Proportion of women in managerial positions (%),Bahamas,2001,39.94
Proportion of women in managerial positions (%),Bahamas,2002,40.43
Proportion of women in managerial positions (%),Bahamas,2003,40.37
Proportion of women in managerial positions (%),Bahamas,2004,42.8
Proportion of women in managerial positions (%),Bahamas,2005,45.79
Proportion of women in managerial positions (%),Bahamas,2006,41.39
Proportion of women in managerial positions (%),Bahamas,2007,43.24
Proportion of women in managerial positions (%),Bahamas,2008,46.34
Proportion of women in managerial positions (%),Bahamas,2009,44.41
Proportion of women in managerial positions (%),Bahamas,2011,51.64
Proportion of women in managerial positions (%),Bahrain,2001,12.32
Proportion of women in managerial positions (%),Bahrain,2004,10.59
Proportion of women in managerial positions (%),Bahrain,2015,21.56
Proportion of women in managerial positions (%),Bangladesh,2003,23.39
Proportion of women in managerial positions (%),Bangladesh,2006,9.71
Proportion of women in managerial positions (%),Bangladesh,2010,14.75
Proportion of women in managerial positions (%),Bangladesh,2011,5.39
Proportion of women in managerial positions (%),Bangladesh,2013,13.18
Proportion of women in managerial positions (%),Bangladesh,2016,11.38
Proportion of women in managerial positions (%),Bangladesh,2017,10.74
Proportion of women in managerial positions (%),Armenia,2008,35.24
Proportion of women in managerial positions (%),Armenia,2011,31.65
Proportion of women in managerial positions (%),Armenia,2013,28.8
Proportion of women in managerial positions (%),Armenia,2014,32.39
Proportion of women in managerial positions (%),Armenia,2015,29.07
Proportion of women in managerial positions (%),Armenia,2016,29.52
Proportion of women in managerial positions (%),Armenia,2017,28.71
Proportion of women in managerial positions (%),Armenia,2018,25.84
Proportion of women in managerial positions (%),Armenia,2019,26.19
Proportion of women in managerial positions (%),Armenia,2020,30.86
Proportion of women in managerial positions (%),Barbados,2000,35.05
Proportion of women in managerial positions (%),Barbados,2001,41.28
Proportion of women in managerial positions (%),Barbados,2002,42.16
Proportion of women in managerial positions (%),Barbados,2003,44.9
Proportion of women in managerial positions (%),Barbados,2004,43.44
Proportion of women in managerial positions (%),Barbados,2013,48.25
Proportion of women in managerial positions (%),Barbados,2014,48.57
Proportion of women in managerial positions (%),Barbados,2015,50.87
Proportion of women in managerial positions (%),Barbados,2016,48.98
Proportion of women in managerial positions (%),Barbados,2017,48.9
